ID	SEX	POP	POP_SIMPLE	COUNTRY	SUPERPOP	CONTINENT
HG00096	M	GBR	British	United_Kingdom	EUR	Europe
HG00097	F	GBR	British	United_Kingdom	EUR	Europe
HG00099	F	GBR	British	United_Kingdom	EUR	Europe
HG00100	F	GBR	British	United_Kingdom	EUR	Europe
HG00101	M	GBR	British	United_Kingdom	EUR	Europe
HG00102	F	GBR	British	United_Kingdom	EUR	Europe
HG00103	M	GBR	British	United_Kingdom	EUR	Europe
HG00105	M	GBR	British	United_Kingdom	EUR	Europe
HG00106	F	GBR	British	United_Kingdom	EUR	Europe
HG00107	M	GBR	British	United_Kingdom	EUR	Europe
HG00108	M	GBR	British	United_Kingdom	EUR	Europe
HG00109	M	GBR	British	United_Kingdom	EUR	Europe
HG00110	F	GBR	British	United_Kingdom	EUR	Europe
HG00111	F	GBR	British	United_Kingdom	EUR	Europe
HG00112	M	GBR	British	United_Kingdom	EUR	Europe
HG00113	M	GBR	British	United_Kingdom	EUR	Europe
HG00114	M	GBR	British	United_Kingdom	EUR	Europe
HG00115	M	GBR	British	United_Kingdom	EUR	Europe
HG00116	M	GBR	British	United_Kingdom	EUR	Europe
HG00117	M	GBR	British	United_Kingdom	EUR	Europe
HG00118	F	GBR	British	United_Kingdom	EUR	Europe
HG00119	M	GBR	British	United_Kingdom	EUR	Europe
HG00120	F	GBR	British	United_Kingdom	EUR	Europe
HG00121	F	GBR	British	United_Kingdom	EUR	Europe
HG00122	F	GBR	British	United_Kingdom	EUR	Europe
HG00123	F	GBR	British	United_Kingdom	EUR	Europe
HG00125	F	GBR	British	United_Kingdom	EUR	Europe
HG00126	M	GBR	British	United_Kingdom	EUR	Europe
HG00127	F	GBR	British	United_Kingdom	EUR	Europe
HG00128	F	GBR	British	United_Kingdom	EUR	Europe
HG00129	M	GBR	British	United_Kingdom	EUR	Europe
HG00130	F	GBR	British	United_Kingdom	EUR	Europe
HG00131	M	GBR	British	United_Kingdom	EUR	Europe
HG00132	F	GBR	British	United_Kingdom	EUR	Europe
HG00133	F	GBR	British	United_Kingdom	EUR	Europe
HG00136	M	GBR	British	United_Kingdom	EUR	Europe
HG00137	F	GBR	British	United_Kingdom	EUR	Europe
HG00138	M	GBR	British	United_Kingdom	EUR	Europe
HG00139	M	GBR	British	United_Kingdom	EUR	Europe
HG00140	M	GBR	British	United_Kingdom	EUR	Europe
HG00141	M	GBR	British	United_Kingdom	EUR	Europe
